ATM     ,Automated teller machine
BASH	,Bourne again shell
CD      ,Compact disc
CSH     ,C shell
CPU     , central processing unit
CSS     ,Cascading style sheets
DOM     ,Document object model
DVD     ,Digital versatile disc
GPU     ,Graphics processing unit
GSM     ,Global system for mobile communications
HD      ,High definition
HTML	,Hypertext markup language
HTTP	,Hypertext transfer protocol
ICBM    ,Intercontinental ballistic missile
IDE     ,Integrated development environment
IoT     ,Internet of things
IP      ,Internet protocol
IR      ,Infrared
IRC     ,Internet relay chat
JS      ,JavaScript
JSON    ,JavaScript object notaion
LAN     ,Local area network
MAC     ,Media access control
MSN     ,Microsoft network
NMT     ,Nordic Mobile Telephone
ORM     ,Object-relational mapping
P2P     ,Peer-to-peer
PC      ,Personal computer
PHP		,PHP: Hypertext Preprocessor
PIN     ,Personal identification number
QR      ,Quick Response Code
RAM     ,Random access memory
RGB     ,Red green blue
ROM     ,Read only memory
RTMP    ,Real-time messaging protocol
SD      ,Secure digital card
SD      ,Standard definition
SMS     ,Short message service
SQL		,Systemic query language 
TCSH	,Tenex C shell
TCP     ,Transmission control protocol
TV      ,Television
UML     ,Universal markup language
USB     ,Universal Serial Bus
UV      ,Ultraviolet
VPN     ,Virtual private network
VSC     ,Visual studio code
WAN     ,Wide area network
WAP     ,Wireless application protocol
WLAN    ,Wireless local area network
WWW		,World wide web
XML     ,Extensible markup language
ZSH     ,Z shell
